DATE,AVG_TONE,AVG_POSITIVE_SCORE,AVG_NEGATIVE_SCORE,AVG_POLARITY,NUMBER_OF_ARTICLES,Open,High,Low,Close,Adj Close,Volume
2020-01-02,-5.378190877,1.556339353,6.93453023,8.490869583,50.0,63.75,63.84000015258789,63.2400016784668,63.709999084472656,58.89078903198242,157613349.0
2020-01-03,-5.884740139,1.721482468,7.606222607,9.327705075,40.0,63.79999923706055,63.79999923706055,62.45000076293945,63.04999923706055,58.28071212768555,198856652.0
2020-01-06,-5.413489032,1.969599047,7.383088078,9.352687125,73.0,63.20000076293945,63.32400131225586,62.071998596191406,63.25,58.46558380126953,136196286.0
2020-01-07,-5.342589876,1.808465407,7.151055283,8.95952069,41.0,63.11000061035156,63.689998626708984,62.88999938964844,63.11000061035156,58.33617401123047,107254282.0
2020-01-08,-5.51025746,1.942083843,7.452341303,9.394425145,33.0,62.58000183105469,62.869998931884766,62.0099983215332,62.790000915527344,58.04037857055664,157679455.0
2020-01-09,-5.387547309,1.329941781,6.71748909,8.047430871,829.0,63.45000076293945,63.5,61.74599838256836,61.849998474121094,57.17148208618164,173659260.0
2020-01-10,-5.177585345,1.780008336,6.957593681,8.737602017,208.0,61.5,61.7599983215332,60.09000015258789,60.33000183105469,55.76646423339844,224795444.0
2020-01-13,-4.372845069,1.893271905,6.266116974,8.159388879,426.0,59.75,61.75,58.64500045776367,58.7400016784668,54.29673385620117,250375742.0
2020-01-14,-4.349591159,1.85657814,6.206169299,8.062747439,468.0,58.75,59.00600051879883,58.279998779296875,58.75,54.30597686767578,235807714.0
2020-01-15,-4.190209695,1.799114043,5.989323738,7.788437781,485.0,58.869998931884766,58.90999984741211,57.689998626708984,57.810001373291016,53.43708419799805,237998772.0
2020-01-16,-4.685671503,1.489557924,6.175229427,7.664787351,707.0,57.959999084472656,58.18199920654297,57.2400016784668,57.900001525878906,53.5202751159668,152237722.0
2020-01-17,-4.698834354,1.614703868,6.313538223,7.928242091,1362.0,58.310001373291016,58.72999954223633,57.88999938964844,58.45000076293945,54.02867126464844,185978030.0
2020-01-20,-4.187597716,1.971798031,6.159395746,8.131193777,3982.0,58.709999084472656,58.709999084472656,57.76100158691406,57.900001525878906,53.5202751159668,72762048.0
2020-01-21,-4.298300649,1.877438102,6.175738751,8.053176853,9729.0,57.52000045776367,58.63999938964844,57.22999954223633,58.5,54.074886322021484,266967743.0
2020-01-22,-3.662755848,2.208636305,5.871392153,8.080028458,14939.0,58.380001068115234,58.560001373291016,57.84000015258789,58.09000015258789,53.695899963378906,163118813.0
2020-01-23,-3.64411832,2.137697806,5.781816126,7.919513931,18475.0,57.959999084472656,58.849998474121094,57.400001525878906,57.400001525878906,53.05809783935547,167221590.0
2020-01-24,-3.713169258,2.124998055,5.838167313,7.963165368,19944.0,58.099998474121094,59.2599983215332,57.849998474121094,58.09000015258789,53.695899963378906,146725561.0
2020-01-27,-3.286366287,2.294073996,5.580440284,7.87451428,22084.0,57.20000076293945,57.790000915527344,56.72999954223633,57.11000061035156,52.79003143310547,156667186.0
2020-01-28,-3.219990038,2.254539251,5.474529288,7.729068539,28359.0,57.5,58.2400016784668,56.82099914550781,57.63999938964844,53.27994155883789,114274583.0
2020-01-29,-3.009097106,2.242900927,5.251998033,7.49489896,29671.0,57.959999084472656,58.44599914550781,57.43000030517578,57.5,53.15053176879883,105528590.0
2020-01-30,-3.148002001,2.273625804,5.421627805,7.695253609,33707.0,57.0,58.26499938964844,57.0,57.93000030517578,53.548004150390625,134419233.0
